Country,YPOTg_2019,YPOTg_2020,YPOTg_2021,YPOTg_2022,YGAP_2019,YGAP_2020,YGAP_2021,YGAP_2022
at,1.0,0.7,0.8,0.9,2.5,-5.4,-2.3,-0.6
be,,,,,,,,
bg,,,,,,,,
cy,,,,,,,,
cz,,,,,,,,
de,,,,,,,,
dk,,,,,,,,
ee,,,,,,,,
el,,,,,,,,
es,,,,,,,,
fi,,,,,,,,
fr,,,,,,,,
hr,,,,,,,,
hu,,,,,,,,
ie,,,,,,,,
it,,,,,,,,
lt,,,,,,,,
lu,,,,,,,,
lv,,,,,,,,
mt,,,,,,,,
nl,,,,,,,,
pl,,,,,,,,
pt,,,,,,,,
ro,,,,,,,,
se,,,,,,,,
si,,,,,,,,
sk,,,,,,,,
uk,,,,,,,,
us,,,,,,,,
