Country,YPOTg_2019,YPOTg_2020,YPOTg_2021,YPOTg_2022,YGAP_2019,YGAP_2020,YGAP_2021,YGAP_2022
at,1.1,0.9,1.0,1.1,2.1,-5.5,-3.2,-0.2
be,1.4,1.1,1.0,1.3,1.1,-6.3,-3.0,-0.8
bg,2.6,1.8,2.1,2.3,2.8,-3.2,-1.9,0.4
cy,2.5,2.0,2.1,2.2,5.4,-1.9,-0.9,0.7
cz,2.4,1.6,1.8,2.2,2.9,-4.4,-2.9,-0.7
de,1.1,0.9,1.1,1.3,1.0,-4.9,-2.7,-0.0
dk,2.0,2.1,2.2,2.2,0.7,-4.1,-3.3,-2.1
ee,4.4,4.2,3.1,3.2,2.8,-4.3,-4.5,-2.8
el,-0.5,-0.9,-0.2,0.7,-3.7,-10.8,-6.9,-2.1
es,1.2,0.1,1.0,1.5,1.8,-9.3,-5.0,-0.0
fi,1.5,1.2,1.4,1.4,0.3,-3.6,-2.3,-1.0
fr,0.8,0.7,1.0,1.3,1.8,-7.1,-2.7,0.1
hr,2.1,1.1,2.4,2.6,3.8,-5.5,-3.1,0.1
hu,4.2,3.3,3.2,3.5,4.4,-3.9,-2.3,-0.4
ie,6.8,4.3,4.3,4.3,0.0,-0.8,-0.5,0.1
it,-0.1,0.3,0.0,0.9,0.6,-8.6,-4.8,-1.4
lt,4.5,4.3,4.1,3.6,3.4,-1.8,-2.9,-2.6
lu,3.0,2.6,2.8,2.8,-1.0,-4.7,-3.2,-2.7
lv,3.1,2.6,2.9,3.0,2.6,-3.6,-3.0,-0.2
mt,5.3,2.8,3.3,3.5,4.3,-5.6,-4.5,-2.1
nl,1.6,1.3,1.1,1.2,1.4,-3.7,-2.5,-0.2
pl,3.6,2.9,3.2,3.4,3.6,-2.0,-1.2,0.7
pt,1.5,1.3,1.5,1.8,3.5,-5.6,-3.3,-0.2
ro,4.3,3.2,3.2,3.3,1.6,-5.3,-3.6,-2.1
se,2.1,1.9,2.0,2.1,-0.2,-4.8,-2.5,-1.4
si,2.7,2.4,2.9,3.3,4.7,-3.4,-1.6,0.0
sk,2.4,1.5,2.1,2.9,2.4,-3.9,-1.4,0.8
uk,1.0,0.7,0.9,1.3,1.8,-8.9,-5.1,-1.4
us,2.1,1.9,2.2,2.1,1.6,-3.8,0.1,1.8
